player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Christian McCaffrey,RB,SF,1,17,89.8,5.3,0.6,7.9,6,59.1,59.1,9.9,0.4,0.1,18.8,18.8,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,1,17.4,95.5,5.5,0.8,2.9,2.5,21.8,21.8,8.7,0.2,0.1,16.8,16.8,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,14,70.6,5,0.8,4.2,3.5,28.1,28.1,8,0.1,0.1,14.2,14.2,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,1,16.1,66.5,4.1,1,3,2.4,24.7,24.7,10.3,0,0.1,13.8,13.8,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,16,89.4,5.6,1,1.5,1,9.6,9.6,9.6,0,0.1,13.8,13.8,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,1,12.9,60.7,4.7,0.5,5.7,4.4,29.2,29.2,6.6,0.5,0.1,13.8,13.8,3171161,CBS,16167,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,1,16,71.2,4.5,0.7,3,2.3,17.9,17.9,7.8,0.3,0.2,13.6,13.6,3121836,CBS,15710,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,1,14.3,65,4.6,0.3,5.2,4,42.7,42.7,10.7,0.3,0.1,13.4,13.4,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,16.6,87.1,5.3,0.6,2.4,2.1,15.6,15.6,7.4,0.1,0.1,13,13,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kimani Vidal,RB,LAC,1,14.1,74,5.3,0.5,2.8,2.1,11.1,11.1,5.3,0.3,0.1,12.6,12.6,3163421,CBS,16757,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,1,13.7,62,4.5,0.7,3.1,2.3,10.4,10.4,4.5,0.1,0.1,11.6,11.6,2961719,CBS,15256,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Monangai,RB,CHI,1,15.8,77.9,4.9,0.5,2.7,1.9,19.2,19.2,10.1,0.1,0.1,11.4,11.4,3177368,CBS,17066,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,1,14.3,67.7,4.7,0.3,4.6,3.8,32.7,32.7,8.6,0.1,0.1,11.2,11.2,3126535,CBS,15742,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,1,15,53.9,3.6,0.6,3,2.3,15.6,15.6,6.8,0.3,0.2,11,11,28874008,CBS,17042,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,1,13,63.3,4.9,0.5,2.1,1.8,14.7,14.7,8.2,0,0.1,9.8,9.8,3121372,CBS,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAC,1,14.5,63.6,4.4,0.4,3.7,2.6,17.3,17.3,6.7,0.1,0.1,9.8,9.8,2809206,CBS,15253,NA,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,1,13.1,65.6,5,0.4,2.9,2.4,16.5,16.5,6.9,0.1,0.2,9.6,9.6,26699547,CBS,17043,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zonovan Knight,RB,ARI,1,10.5,54.2,5.2,0.5,2.4,1.8,16.5,16.5,9.2,0.1,0.1,9.4,9.4,3121860,CBS,15727,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,1,13.1,60.3,4.6,0.3,2.1,1.6,11.5,11.5,7.2,0.1,0.1,9.2,9.2,2252798,CBS,14823,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,1,12.5,53.4,4.3,0.5,1.9,1.2,10.4,10.4,8.7,0,0.3,8.4,8.4,3126952,CBS,17256,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,1,12,54.2,4.5,0.3,3.8,3.1,19.3,19.3,6.2,0.1,0.1,8.2,8.2,2965160,CBS,16181,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kareem Hunt,RB,KC,1,11.1,48.1,4.3,0.6,1.6,1.3,8.4,8.4,6.5,0.1,0,8.2,8.2,2079567,CBS,13138,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,1,10.3,44.8,4.4,0.5,1.5,1.3,11.5,11.5,8.9,0,0,8,8,2261252,CBS,14071,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,1,10.3,38,3.7,0.6,1.9,1.6,12.6,12.6,7.9,0,0,7.6,7.6,3123810,CBS,16169,NA,NA,NA,NA,NA,NA,NA,NA,NA
J.K. Dobbins,RB,DEN,1,13.4,61.8,4.6,0.3,1.2,0.9,3.8,3.8,4.2,0,0.1,7.6,7.6,2804420,CBS,14800,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,1,13.1,48.6,3.7,0.3,4.3,3.6,23.2,23.2,6.4,0,0.1,7.6,7.6,2082721,CBS,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,1,10.1,34.2,3.4,0.2,2.3,1.7,20.5,20.5,12.1,0.2,0.1,7.2,7.2,3171045,CBS,17053,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,RB,MIN,1,9.6,43.3,4.5,0.2,3,2.1,19.2,19.2,9.1,0.1,0.1,6.6,6.6,2071937,CBS,13319,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,1,12.6,46.6,3.7,0.3,3.5,2.3,14.3,14.3,6.2,0,0.1,6.6,6.6,2963637,CBS,16747,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,1,9.5,36.2,3.8,0.2,2.6,2,11.6,11.6,5.8,0.2,0,6.4,6.4,2865693,CBS,15261,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrell Jennings,RB,NE,1,8.2,38.4,4.7,0.3,1.5,1.1,10.3,10.3,9.4,0.1,0.1,6.2,6.2,3133899,CBS,16957,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,TEN,1,11.2,48.5,4.3,0.2,2.4,1.9,12,12,6.3,0,0.1,6,6,2184011,CBS,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyjae Spears,RB,TEN,1,7.7,38.5,5,0.2,3.1,2.6,17.1,17.1,6.6,0.1,0,5.8,5.8,3122588,CBS,16165,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,MIN,1,11.1,47.5,4.3,0.3,1.5,1.2,5.7,5.7,4.8,0,0.1,5.6,5.6,2967536,CBS,15972,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,1,6.7,27.6,4.1,0.2,1.9,1.5,11.3,11.3,7.5,0.2,0,5.4,5.4,3121207,CBS,17068,NA,NA,NA,NA,NA,NA,NA,NA,NA
