player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Matt Gay,K,WAS,1,2.1,2.6,0,0,0.6,0.6,0.7,0.8,0.5,0.5,0.3,0.3,3.4,3.4,9.7,9.7,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,2.1,2.2,0,0,0.7,0.7,0.6,0.6,0.5,0.5,0.3,0.3,3.1,3.2,9.4,9.4,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,2,2.4,0,0,0.6,0.6,0.7,0.8,0.5,0.6,0.2,0.2,3.3,3.5,9.3,9.3,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spencer Shrader,K,IND,1,2.1,2.5,0,0,0.6,0.7,0.6,0.7,0.6,0.8,0.2,0.2,2.6,2.6,8.9,8.9,3131541,CBS,16896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.9,2.2,0,0,0.4,0.4,0.7,0.7,0.5,0.6,0.3,0.3,3,3.1,8.7,8.7,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,1.9,2.2,0,0,0.4,0.5,0.7,0.8,0.4,0.5,0.3,0.3,2.9,2.9,8.6,8.6,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,1,2,2.8,0,0,0.5,0.5,0.8,0.8,0.5,0.7,0.3,0.3,2.6,2.7,8.6,8.6,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,1.9,2.3,0,0,0.5,0.5,0.5,0.6,0.5,0.7,0.3,0.3,2.8,2.8,8.5,8.5,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.8,2,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,3,3,8.4,8.4,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,2,2.4,0,0,0.5,0.5,0.6,0.7,0.5,0.7,0.4,0.4,2.3,2.4,8.3,8.3,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.6,2,0,0,0.5,0.5,0.4,0.4,0.4,0.5,0.3,0.3,3.3,3.3,8.1,8.1,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2,2.3,0,0,0.5,0.5,0.5,0.6,0.6,0.7,0.3,0.3,2.1,2.2,8.1,8.1,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
