player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Saquon Barkley,RB,PHI,1,18.7,104,5.6,0.7,3.1,2.4,19.7,19.7,8.2,0.2,0.1,16.2,16.2,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,17.2,106,6.2,0.7,1.5,1.2,12.3,12.3,10.3,0.1,0.1,15.6,15.6,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,1,18.1,79.9,4.4,0.8,2.8,2.3,22.5,22.5,9.8,0.1,0.1,14.2,14.2,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,1,16.8,71.1,4.2,0.6,4.4,3.6,25.7,25.7,7.1,0.1,0.1,13,13,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,1,17,68.4,4,0.8,2.3,1.9,11.9,11.9,6.3,0.2,0.2,12.6,12.6,3121836,CBS,15710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,1,10.3,52,5.1,0.4,4.9,4.3,33.5,33.5,7.8,0.4,0.1,12.6,12.6,3171161,CBS,16167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,1,17,80.4,4.7,0.6,2.1,1.3,9.8,9.8,7.5,0.1,0.1,12,12,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucky Irving,RB,TB,1,15.2,77.4,5.1,0.6,2.7,2.5,19.7,19.7,7.9,0.1,0.1,12,12,26693770,CBS,16598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,1,13.2,63.5,4.8,0.3,4.4,3.5,30.8,30.8,8.8,0.2,0.1,11.8,11.8,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,13.5,69.9,5.2,0.5,4.2,3.2,28.7,28.7,9,0.1,0.1,11.4,11.4,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,1,14.1,73.8,5.2,0.5,2.6,2,17.2,17.2,8.6,0.1,0.2,11.2,11.2,26699547,CBS,17043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,1,12.4,52.2,4.2,0.5,3.9,3.3,24.9,24.9,7.6,0.2,0.1,11,11,2965160,CBS,16181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,1,14.4,54.9,3.8,0.6,3.1,2.4,21.4,21.4,8.9,0.1,0.2,10.8,10.8,28874008,CBS,17042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Conner,RB,ARI,1,12.9,67.9,5.3,0.4,3.1,2.6,24.4,24.4,9.4,0.1,0.1,10.8,10.8,2071585,CBS,13146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,1,14,70.6,5,0.4,3.3,2.4,19.9,19.9,8.3,0.1,0.2,10.6,10.6,2963637,CBS,16747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,1,12.9,52.5,4.1,0.7,3.6,3,19.2,19.2,6.4,0.1,0.1,10.6,10.6,3121372,CBS,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,1,12.5,53.1,4.3,0.3,5.4,4.2,30.7,30.7,7.3,0.1,0.1,10.2,10.2,2082721,CBS,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,RB,CLE,1,10.3,53,5.2,0.4,3.8,3.1,20.1,20.1,6.5,0.1,0.1,9.8,9.8,2966543,CBS,15713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,1,12.4,56.3,4.5,0.5,3.4,2.8,13.7,13.7,4.9,0.1,0.1,9.4,9.4,2865693,CBS,15261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,RB,MIN,1,10.5,55.5,5.3,0.2,3.3,2.6,21.2,21.2,8.2,0.1,0.1,8.6,8.6,2071937,CBS,13319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,1,12.3,54.1,4.4,0.4,2.3,1.8,15.2,15.2,8.4,0.1,0.2,8.6,8.6,3121207,CBS,17068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,12.6,48.3,3.8,0.5,2.2,1.8,15.4,15.4,8.6,0.1,0.1,8.4,8.4,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tank Bigsby,RB,JAC,1,11,58.6,5.3,0.6,0.6,0.3,2.9,2.9,9.7,0,0.1,8.4,8.4,3162021,CBS,16164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,1,10.3,41.9,4.1,0.3,3.8,2.9,25.1,25.1,8.7,0.1,0.1,8.2,8.2,3123469,CBS,15708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Chubb,RB,HOU,1,12.6,50.7,4,0.4,1.2,0.7,5.7,5.7,8.1,0.1,0.1,7.8,7.8,2131579,CBS,13610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,RB,NE,1,9.5,44.8,4.7,0.4,2.6,2.1,11.7,11.7,5.6,0.1,0.1,7.8,7.8,3125832,CBS,15259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,1,8.9,48.1,5.4,0.4,2,1.5,14.7,14.7,9.8,0.1,0.1,7.8,7.8,3126952,CBS,17256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omarion Hampton,RB,LAC,1,12.9,48.9,3.8,0.4,2.2,1.7,16.4,16.4,9.7,0.1,0.2,7.6,7.6,28908905,CBS,17044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,1,12.8,51.2,4,0.3,3.1,2.5,19.7,19.7,7.9,0,0.1,7.6,7.6,2871710,CBS,14797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,TEN,1,13,50.4,3.9,0.3,3,2.2,13.4,13.4,6.1,0,0.1,7.6,7.6,2184011,CBS,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,1,12.5,47.7,3.8,0.4,2,1.8,15.6,15.6,8.7,0,0.1,7.2,7.2,2261252,CBS,14071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,WAS,1,6.5,35.3,5.4,0.3,3.8,3.1,27,27,8.7,0.1,0.1,7.2,7.2,2820090,CBS,13404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
