player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,fg_pct,xp_pct,pct_owned,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Brandon Aubrey,K,DAL,1,2.4,2.7,0,0,0.6,0.6,0.7,0.8,0.7,0.7,0.5,0.5,2.9,3.1,10.1,10.1,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,2.3,2.7,0,0,0.7,0.7,0.8,0.8,0.5,0.6,0.4,0.4,2.7,3,9.6,9.6,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.8,2.2,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.3,0.3,3.5,3.5,8.9,8.9,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,2.1,2.2,0,0,0.5,0.5,0.8,0.8,0.5,0.5,0.3,0.3,2.6,2.6,8.9,8.9,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,2,2.3,0,0,0.4,0.4,0.7,0.8,0.5,0.7,0.3,0.3,2.7,2.8,8.7,8.7,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.9,2.2,0,0,0.4,0.4,0.7,0.8,0.4,0.6,0.3,0.3,2.8,2.9,8.5,8.5,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,IND,1,2,2.3,0,0,0.5,0.5,0.6,0.6,0.7,0.8,0.2,0.2,2.5,2.7,8.5,8.5,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,CHI,1,1.8,2.3,0,0,0.4,0.4,0.5,0.7,0.6,0.9,0.2,0.2,2.6,2.7,8,8,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,1,2,2.2,0,0,0.5,0.6,0.5,0.5,0.5,0.6,0.3,0.3,2,2.2,8,8,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,WAS,1,1.6,2,0,0,0.4,0.4,0.4,0.5,0.5,0.6,0.3,0.3,3.2,3.2,8,8,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.8,2.1,0,0,0.4,0.4,0.6,0.7,0.4,0.6,0.3,0.3,2.6,2.7,8,8,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,1,1.7,1.8,0,0,0.4,0.4,0.5,0.5,0.5,0.5,0.3,0.3,2.5,2.6,7.6,7.6,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.6,1.8,0,0,0.4,0.4,0.4,0.5,0.5,0.6,0.3,0.3,2.7,2.7,7.5,7.5,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.7,1.9,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.3,0.3,2.2,2.3,7.3,7.3,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Parker Romo,K,ATL,1,1.7,2.1,0,0,0.4,0.5,0.6,0.7,0.4,0.6,0.2,0.2,2.1,2.1,7.2,7.2,2245258,CBS,16405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,1.7,2.1,0,0,0.5,0.6,0.5,0.6,0.4,0.6,0.3,0.3,1.8,1.9,6.9,6.9,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.6,2,0,0,0.5,0.5,0.4,0.4,0.5,0.7,0.2,0.2,1.9,2,6.7,6.7,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
