player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,two_pts
Jalen Hurts,PHI,34.5,22.5,258.4,1.5,0.7,8.9,42,0.6,0.2,23.2,19275,FantasyPros,QB,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Mahomes II,KC,38,25.4,291.1,2.2,0.8,4.7,25.7,0.2,0.1,22.8,16413,FantasyPros,QB,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,BUF,35.1,24.2,261.6,1.8,0.9,4.7,24.7,0.3,0.2,20.6,17298,FantasyPros,QB,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,BAL,30.9,20.9,218.8,1.2,0.8,9.5,55.7,0.5,0.2,20.6,17233,FantasyPros,QB,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,MIA,36,24.6,299.7,2,0.9,2.1,5.4,0.1,0.2,19.6,19198,FantasyPros,QB,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,LAC,36.8,25.4,267.2,1.6,0.8,4.4,15.9,0.2,0.1,18.5,18635,FantasyPros,QB,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,SEA,33.5,22.8,257.2,1.6,0.8,2.8,13.4,0.1,0.1,17.8,11687,FantasyPros,QB,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Love,GB,33.6,20.4,244.4,1.5,1,4.2,17.6,0.2,0.2,17.4,19246,FantasyPros,QB,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Wilson,DEN,31.7,20.3,224.2,1.5,0.7,5,25.3,0.1,0.1,17.3,11180,FantasyPros,QB,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,SF,30.6,20.7,247.4,1.7,0.5,2.1,7.5,0.1,0.1,17.3,19797,FantasyPros,QB,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshaun Watson,CLE,31.3,20.1,230.6,1.2,0.7,5.1,26.2,0.2,0.3,16.5,16398,FantasyPros,QB,13113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Stafford,LAR,34,22,259.3,1.6,0.8,1.5,5.7,0.1,0.1,16.4,9451,FantasyPros,QB,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Howell,WAS,32.2,21.5,235.7,1.3,0.8,4.2,17.8,0.2,0.1,16.2,23045,FantasyPros,QB,15693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,JAC,35.1,22.6,236.4,1.3,0.8,4.3,20.5,0.1,0.3,16.2,19780,FantasyPros,QB,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,MIN,36.8,24.8,267.5,1.5,0.8,1.5,5.3,0,0.2,16.1,11177,FantasyPros,QB,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,DET,35.6,23.6,259.7,1.4,0.8,1.9,5.9,0.1,0.2,16,15501,FantasyPros,QB,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Dobbs,ARI,33.2,21.6,214.6,1.2,0.6,5.4,25.9,0.2,0.2,15.7,16417,FantasyPros,QB,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker Mayfield,TB,31.6,20.1,220.7,1.4,0.8,3.8,14.8,0.1,0.1,15.4,17237,FantasyPros,QB,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Carr,NO,35.5,22.6,239,1.4,0.8,1.8,5.3,0.1,0.1,14.8,12092,FantasyPros,QB,11644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Jones,NYG,29.6,19.4,196.4,0.8,0.8,7.3,37.1,0.2,0.3,14.9,18232,FantasyPros,QB,14059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Hoyer,LV,32.6,21.2,226.8,1.2,0.7,3.1,11.4,0.1,0.2,14.7,9078,FantasyPros,QB,9714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenny Pickett,PIT,32.2,20,222.5,1.2,0.8,2.9,13,0.1,0.1,14.7,22722,FantasyPros,QB,15692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
