player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Justin Tucker,K,BAL,1,2.1,2.5,0,0,0.6,0.6,0.6,0.6,0.7,0.8,0.2,0.2,2.8,2.8,9.1,9.1,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.9,2.3,0,0,0.4,0.4,0.5,0.5,0.7,0.8,0.2,0.2,3.4,3.5,9.1,9.1,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.8,1.9,0,0,0.5,0.5,0.6,0.6,0.4,0.4,0.3,0.3,2.7,2.7,8.1,8.1,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,1.8,1.9,0,0,0.5,0.5,0.6,0.6,0.4,0.4,0.3,0.3,2.7,2.9,8.1,8.1,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,1.9,2,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,2.4,2.5,8.1,8.1,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.8,1.9,0,0,0.4,0.4,0.7,0.7,0.4,0.5,0.3,0.3,2.6,2.7,8,8,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,1.7,2.1,0,0,0.5,0.5,0.4,0.4,0.5,0.6,0.3,0.3,2.7,2.7,7.8,7.8,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,1.6,1.9,0,0,0.5,0.5,0.6,0.6,0.4,0.5,0.2,0.2,2.9,3,7.7,7.7,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,1.8,2.1,0,0,0.6,0.6,0.5,0.5,0.5,0.6,0.2,0.2,2.1,2.1,7.5,7.5,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.8,1.9,0,0,0.5,0.5,0.6,0.7,0.4,0.4,0.2,0.2,1.9,1.9,7.3,7.3,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
