player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,xp_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Jason Sanders,K,MIA,1,1.9,2.4,0,0,0.4,0.5,0.5,0.6,0.7,0.8,0.3,0.3,3.5,3.6,9.2,9.2,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,2,2.3,0,0,0.6,0.6,0.5,0.6,0.6,0.7,0.2,0.2,2.6,2.7,8.6,8.6,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.9,2,0,0,0.5,0.5,0.6,0.6,0.4,0.5,0.3,0.3,2.8,2.8,8.5,8.5,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,1.8,1.9,0,0,0.5,0.5,0.6,0.6,0.4,0.4,0.3,0.3,2.7,2.9,8.1,8.1,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,1.9,2,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,2.4,2.5,8.1,8.1,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,1.6,1.9,0,0,0.5,0.5,0.6,0.6,0.3,0.5,0.2,0.2,3,3,7.8,7.8,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.7,1.8,0,0,0.4,0.4,0.6,0.7,0.4,0.4,0.3,0.3,2.7,2.7,7.8,7.8,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,1.7,2.1,0,0,0.5,0.5,0.4,0.4,0.5,0.6,0.3,0.3,2.7,2.7,7.8,7.8,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,1.9,2.1,0,0,0.6,0.6,0.5,0.5,0.5,0.6,0.2,0.2,2,2.1,7.7,7.7,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.6,1.8,0,0,0.4,0.4,0.4,0.4,0.5,0.6,0.3,0.3,2.3,2.4,7.1,7.1,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.6,1.9,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,2.1,2.1,6.9,6.9,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.7,1.9,0,0,0.5,0.5,0.6,0.7,0.4,0.4,0.2,0.2,1.8,1.8,6.9,6.9,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,1,1.6,1.8,0,0,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,2,2.1,6.8,6.8,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,DET,1,1.4,1.6,0,0,0.4,0.4,0.6,0.6,0.4,0.4,0.1,0.1,2.6,2.8,6.8,6.8,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.4,1.5,0,0,0.4,0.4,0.4,0.5,0.3,0.4,0.2,0.2,2.4,2.4,6.6,6.6,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.5,1.7,0,0,0.4,0.4,0.5,0.5,0.3,0.5,0.3,0.3,2,2.1,6.5,6.5,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,1,1.5,1.9,0,0,0.5,0.5,0.5,0.5,0.3,0.5,0.2,0.2,2,2.2,6.5,6.5,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.3,1.6,0,0,0.3,0.3,0.5,0.6,0.3,0.4,0.2,0.2,2.4,2.4,6.3,6.3,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,1.5,1.8,0,0,0.3,0.3,0.5,0.6,0.4,0.5,0.2,0.2,1.8,1.8,6.3,6.3,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.5,1.8,0,0,0.4,0.4,0.4,0.4,0.5,0.6,0.3,0.3,1.6,1.7,6.1,6.1,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,1,1.5,1.8,0,0,0.5,0.5,0.5,0.6,0.3,0.5,0.1,0.1,1.5,1.6,6,6,408969,CBS,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,1,1.4,1.6,0,0,0.4,0.4,0.3,0.3,0.4,0.6,0.2,0.2,1.6,1.8,5.8,5.8,1664151,CBS,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,K,GB,1,1.3,1.7,0,0,0.4,0.4,0.5,0.5,0.3,0.4,0.2,0.2,1.8,2.1,5.7,5.7,2866578,CBS,16339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,1,1.3,1.4,0,0,0.4,0.4,0.4,0.4,0.3,0.4,0.2,0.2,1.7,1.8,5.6,5.6,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.3,1.5,0,0,0.4,0.4,0.5,0.5,0.3,0.4,0.2,0.2,1.7,1.9,5.6,5.6,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.3,1.4,0,0,0.3,0.3,0.4,0.4,0.4,0.5,0.2,0.2,1.5,1.6,5.4,5.4,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,NYG,1,1.2,1.3,0,0,0.3,0.3,0.5,0.5,0.4,0.5,0,0,1.5,1.5,5.1,5.1,1632503,CBS,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,1,1.2,1.3,0,0,0.2,0.3,0.4,0.4,0.4,0.4,0.1,0.1,1.2,1.3,4.8,4.8,1971893,CBS,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,NE,1,1.1,1.4,0,0,0.3,0.3,0.3,0.4,0.4,0.5,0.1,0.1,1.4,1.5,4.7,4.7,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,JAC,1,1,1.1,0,0,0.2,0.2,0.3,0.3,0.3,0.4,0.2,0.2,1.5,1.6,4.5,4.5,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
