player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Brett Maher,K,DAL,1,2.5,2.8,0,0,0.7,0.7,0.7,0.7,0.6,0.7,0.4,0.4,2.6,3,10.1,10.1,1630817,CBS,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,2.4,2.6,0,0,0.7,0.8,0.7,0.7,0.5,0.6,0.4,0.4,2.1,2.3,9.3,9.3,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,2.1,2.4,0,0,0.5,0.5,0.6,0.6,0.6,0.8,0.4,0.4,2.9,3.1,9.2,9.2,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,2,2.2,0,0,0.5,0.5,0.5,0.6,0.6,0.6,0.4,0.4,3.1,3.2,9.1,9.1,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,1,1.9,2.2,0,0,0.4,0.4,0.8,0.8,0.5,0.6,0.2,0.2,2.8,2.9,8.5,8.5,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,1.9,2.1,0,0,0.6,0.6,0.5,0.5,0.5,0.6,0.3,0.3,2.5,2.5,8.2,8.2,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,1,1.9,2.1,0,0,0.6,0.6,0.5,0.6,0.7,0.8,0.1,0.1,2.3,2.5,8,8,1674148,CBS,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,LAC,1,1.7,2,0,0,0.5,0.5,0.5,0.5,0.6,0.8,0.1,0.1,2.8,2.9,7.9,7.9,1664151,CBS,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,1,1.8,2.1,0,0,0.4,0.4,0.7,0.7,0.4,0.5,0.3,0.3,2.4,2.6,7.8,7.8,1109832,CBS,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,1.6,1.8,0,0,0.3,0.3,0.6,0.7,0.4,0.4,0.3,0.3,2.6,2.8,7.4,7.4,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,1,1.6,2.1,0,0,0.4,0.4,0.6,0.7,0.4,0.6,0.3,0.3,2.6,2.6,7.4,7.4,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
