player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,rush_yds,rush_tds,return_yds,scoring_opp,bye,draft_rank,rush_att,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points
Travis Kelce,TE,KC,1,9.6,7,90.2,90.2,12.9,0.6,0.1,12.4,12.4,1725130,CBS,11244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Kittle,TE,SF,1,8.8,6.8,94.2,94.2,13.9,0.4,0.1,11.2,11.2,2818265,CBS,13299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Andrews,TE,BAL,1,7.1,4.5,57.1,57.1,12.7,0.6,0,8.6,8.6,2131121,CBS,13671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Pitts,TE,ATL,1,5.4,3.7,50.6,50.6,13.7,0.5,0.1,7.8,7.8,2964514,CBS,15329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darren Waller,TE,LV,1,8.2,6.2,67.8,67.8,10.9,0.3,0.1,7.6,7.6,1850793,CBS,12263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Fant,TE,SEA,1,6.2,3.9,51.4,51.4,13.2,0.3,0,6.8,6.8,2251095,CBS,14137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Goedert,TE,PHI,1,6.4,4.4,53.8,53.8,12.2,0.3,0.1,6.6,6.6,2132551,CBS,13674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Logan Thomas,TE,WAS,1,7.1,4.5,41.6,41.6,9.2,0.4,0,6.4,6.4,1691193,CBS,11647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Ertz,TE,ARI,1,7.6,4.5,52.3,52.3,11.6,0.2,0,6.2,6.2,1685963,CBS,11247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taysom Hill,TE,NO,1,0,0.9,10.1,10.1,11.2,0.2,0.2,6,6,2818935,CBS,13424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T.J. Hockenson,TE,DET,1,6.2,3.9,46,46,11.8,0.3,0,5.8,5.8,2251097,CBS,14138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Gesicki,TE,MIA,1,6.7,4,46.8,46.8,11.7,0.3,0,5.8,5.8,2139298,CBS,13672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rob Gronkowski,TE,TB,1,4.3,2.5,35.1,35.1,14,0.4,0,5.4,5.4,1244303,CBS,9902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Akins,TE,HOU,1,4.8,3.4,40.1,40.1,11.8,0.2,0,5.2,5.2,2142712,CBS,13753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Tonyan,TE,GB,1,3.2,2.7,28.3,28.3,10.5,0.5,0,5,5,2820026,CBS,13427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LAR,1,4.9,3.7,38.3,38.3,10.4,0.3,0,4.8,4.8,1853103,CBS,12678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Hooper,TE,TEN,1,4.9,3.5,36.4,36.4,10.4,0.3,0,4.8,4.8,2067004,CBS,12677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonnu Smith,TE,NE,1,4.8,3.3,36.1,36.1,10.9,0.3,0,4.8,4.8,2081506,CBS,13193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Cook,TE,LAC,1,3.7,2.4,35.4,35.4,14.8,0.3,0.1,4.6,4.6,584314,CBS,9474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Kroft,TE,SF,1,4.2,2.4,21.2,21.2,8.8,0.4,0,4.4,4.4,1824200,CBS,12212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Firkser,TE,ATL,1,4.3,3,30.9,30.9,10.3,0.2,0,4.2,4.2,2818971,CBS,13919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerald Everett,TE,LAC,1,5.9,3.7,39.8,39.8,10.8,0.2,0,4.2,4.2,2142692,CBS,13236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,1,4.5,3.1,36,36,11.6,0.2,0,4.2,4.2,2079848,CBS,12676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hayden Hurst,TE,CIN,1,4.2,2.8,32.3,32.3,11.5,0.2,0,4.2,4.2,2185053,CBS,13680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O.J. Howard,TE,HOU,1,4.2,2.6,32.5,32.5,12.5,0.2,0.1,4,4,2061190,CBS,13188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Uzomah,TE,NYJ,1,3.8,2.6,25.2,25.2,9.7,0.3,0,3.8,3.8,2174118,CBS,12317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Arnold,TE,JAC,1,3,2,29,29,14.5,0.3,0.1,3.6,3.6,2835170,CBS,13880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Ebron,TE,PIT,1,5.2,3.2,27.2,27.2,8.5,0.2,0,3.2,3.2,1865396,CBS,11695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Jarwin,TE,DAL,1,3.4,2.6,26.2,26.2,10.1,0.2,0,3.2,3.2,2819999,CBS,13722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Conklin,TE,NYJ,1,3.1,2.3,26.1,26.1,11.4,0.2,0,3.2,3.2,2165249,CBS,13675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Dissly,TE,SEA,1,2.8,2.3,24.7,24.7,10.7,0.2,0,3.2,3.2,2139628,CBS,13763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Rudolph,TE,TB,1,3.2,2.5,20.2,20.2,8.1,0.2,0,3.2,3.2,1633122,CBS,10312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pharaoh Brown,TE,HOU,1,2.2,1.9,21.5,21.5,11.3,0.2,0,3.2,3.2,2819155,CBS,13994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dawson Knox,TE,BUF,1,3.3,1.9,23.6,23.6,12.4,0.2,0.1,3,3,2186345,CBS,14143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pat Freiermuth,TE,PIT,1,4.6,3.1,23.3,23.3,7.5,0.2,0.1,3,3,2961270,CBS,15331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,1,5.3,3.4,27.6,27.6,8.1,0.2,0.1,3,3,2868619,CBS,14867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
