player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Justin Tucker,K,BAL,1,2.2,2.4,0,0,0.5,0.5,0.7,0.7,0.5,0.6,0.4,0.4,3,3,9.6,9.6,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,2.2,2.4,0,0,0.4,0.4,0.8,0.8,0.6,0.7,0.3,0.3,2.8,2.9,9.4,9.4,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.9,2.3,0,0,0.5,0.5,0.7,0.8,0.5,0.6,0.2,0.2,3.5,3.6,9.2,9.2,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,2,2.2,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.3,0.3,3.1,3.3,9.1,9.1,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.9,2.4,0,0,0.5,0.5,0.6,0.7,0.5,0.7,0.4,0.4,3.3,3.6,9,9,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,1,2,2.2,0,0,0.5,0.5,0.6,0.6,0.7,0.8,0.2,0.2,2.4,2.5,8.4,8.4,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,1,2,2.3,0,0,0.6,0.7,0.5,0.5,0.5,0.5,0.3,0.3,2.3,2.5,8.3,8.3,1630817,CBS,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,PIT,1,2,2.4,0,0,0.4,0.4,0.7,0.9,0.4,0.7,0.3,0.3,1.7,1.8,7.7,7.7,3116875,CBS,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,1,1.9,2.3,0,0,0.6,0.6,0.5,0.6,0.5,0.5,0.2,0.2,2,2.2,7.7,7.7,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.8,1.9,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.3,0.3,2,2.2,7.4,7.4,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,1,1.6,2.1,0,0,0.4,0.4,0.6,0.7,0.4,0.6,0.3,0.3,2.5,2.5,7.3,7.3,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,LAC,1,1.6,1.8,0,0,0.4,0.4,0.6,0.6,0.5,0.7,0.1,0.1,2.5,2.7,7.3,7.3,1664151,CBS,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,1.9,2.1,0,0,0.6,0.6,0.6,0.6,0.4,0.5,0.3,0.3,1.5,1.6,7.2,7.2,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.6,1.9,0,0,0.4,0.4,0.4,0.4,0.5,0.7,0.3,0.3,2.3,2.5,7.1,7.1,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,1,1.5,1.8,0,0,0.5,0.5,0.4,0.4,0.4,0.6,0.2,0.2,2.4,2.5,6.9,6.9,553121,CBS,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,1,1.6,1.9,0,0,0.4,0.5,0.4,0.5,0.5,0.5,0.3,0.3,1.7,2,6.5,6.5,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.3,1.7,0,0,0.3,0.4,0.5,0.5,0.3,0.5,0.2,0.2,2.6,2.7,6.5,6.5,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.5,1.8,0,0,0.3,0.3,0.5,0.5,0.5,0.6,0.3,0.3,1.9,2,6.4,6.4,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,1,1.3,1.7,0,0,0.4,0.4,0.4,0.5,0.3,0.5,0.1,0.1,2.4,2.5,6.3,6.3,408969,CBS,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,1,1.4,1.6,0,0,0.3,0.3,0.4,0.4,0.5,0.6,0.2,0.2,2,2,6.2,6.2,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
