team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,dst_int_tds,dst_ret_tds,dst_tackle
BUF,1.7,0,2.8,38.5,0.8,1.1,0.3,14.6,14.6,0,81,239,239,17.6,17.6,CBS,0501,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,1.9,0,3.5,38.5,0.9,1.2,0.3,17.7,17.7,0,142,280,280,17,17,CBS,0524,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,1,0,3.5,36,0.8,1.1,0.2,15.1,15.1,0,79,236,236,16.3,16.3,CBS,0530,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,1.5,0.1,2.5,39.4,1.1,1.6,0.3,18.1,18.1,0,113,291,291,15.5,15.5,CBS,0525,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1.4,0,2.9,38.6,0.5,0.6,0.2,15.9,15.9,0,83,279,279,13.9,13.9,CBS,0509,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,0.8,0,3.5,41.8,0.9,1.2,0.2,16,16,0,147,303,303,12.1,12.1,CBS,0523,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.8,0.1,3.1,40.8,0.8,1.1,0.2,19.7,19.7,0,97,302,302,11.7,11.7,CBS,0508,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,1,0,2.7,42.5,0.9,1.2,0.2,16.6,16.6,0,121,309,309,11.6,11.6,CBS,0511,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,1,0,2.5,36.8,0.9,1.2,0.2,18,18,0,92,314,314,11.5,11.5,CBS,0503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.9,0,2.9,46.1,0.7,1,0.2,20.5,20.5,0,121,327,327,11.3,11.3,CBS,0518,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,1.1,0,1.8,42.8,0.8,1.1,0.2,19.9,19.9,0,126,331,331,10.8,10.8,CBS,0527,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.6,0,2.8,42.3,0.6,0.9,0.2,23.1,23.1,0,107,342,342,10.4,10.4,CBS,0516,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.7,0,2,43.6,0.7,0.9,0.2,18.2,18.2,0,100,317,317,10,10,CBS,0528,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,1.1,0,2,43,1.1,1.5,0.2,22.2,22.2,0,99,351,351,9.6,9.6,CBS,0512,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,1.3,0,1.7,42.7,0.8,1.1,0.2,23.6,23.6,0,126,355,355,9.1,9.1,CBS,0522,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,1,0,2.3,45.6,0.8,1.1,0.2,24.4,24.4,0,145,350,350,9.1,9.1,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.9,0,2.1,40,1.1,1.4,0.2,25.8,25.8,0,109,359,359,9.1,9.1,CBS,0532,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1.2,0,2.1,43.5,0.6,0.9,0.2,25.7,25.7,0,153,354,354,8.9,8.9,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,0.8,0,2.4,41.6,0.8,1.1,0.2,21.3,21.3,0,122,341,341,8.8,8.8,CBS,0529,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1,0,2.1,42.7,0.7,0.9,0.2,22.6,22.6,0,92,360,360,8.7,8.7,CBS,0531,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,1,0,2,41.8,0.7,0.9,0.2,21.6,21.6,0,140,358,358,8.6,8.6,CBS,0504,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.6,0.1,2.2,42.1,0.9,1.3,0.2,21.4,21.4,0,110,320,320,8.6,8.6,CBS,0502,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
