data_src,id,src_id,player,dst_sacks,dst_int,dst_fum_rec,dst_td,dst_safety,dst_pts_allowed,site_pts,team,dst_fum_force,dst_yds_allowed,pos,bye,na,week_2_opp,week_2_fpts,na1,rank_draft,rank_ppr,na2,defense_solo,na3,na4,na5,availability_percent_own,tm,opp,site_ci_low,site_ci_high,opp_team,opp_team_rank,ranks_pos,...36,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Yahoo,0507,cleveland-CLE,Cleveland,3.1,1.1,0.7,0.2,0.1,11,12.31,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0504,england-NE,New England,3,1,0.6,0.2,0,18.8,9.14,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0523,bay-GB,Green Bay,3.2,1,0.7,0.2,0.1,15,9.05,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0525,bay-TB,Tampa Bay,3,1,0.7,0.2,0.1,15,8.9,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0520,washington-WAS,Washington,3.4,0.9,0.7,0.1,0.1,17.5,8.86,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0511,denver-DEN,Denver,3.2,1.1,0.7,0.2,0,19.8,8.82,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0510,pittsburgh-PIT,Pittsburgh,3.2,0.7,0.7,0.1,0,18,8.29,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0521,chicago-CHI,Chicago,2.6,0.9,0.7,0.1,0.1,19.3,7.95,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0528,rams-LAR,Los Angeles,2.9,0.9,0.6,0.1,0.1,21.8,7.04,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yahoo,0529,orleans-NO,New Orleans,2.8,1,0.6,0.1,0,20.3,7.04,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
